J_Id,job
308,Print Reporter
310,Producer
311,Camera Operator
311,Editor
312,Print Reporter
313,Publisher/Owner
314,Editor
315,Editor
316,Producer
317,Camera Operator
318,Internet Reporter
319,Broadcast Reporter
319,Columnist/Commentator
319,Internet Reporter
320,Publisher/Owner
321,Editor
322,Broadcast Reporter
323,Print Reporter
324,Publisher/Owner
325,Columnist/Commentator
326,Columnist/Commentator
327,Columnist/Commentator
328,Editor
329,Camera Operator
330,Broadcast Reporter
331,Broadcast Reporter
333,Editor
335,Columnist/Commentator
336,Editor
336,Publisher/Owner
337,Camera Operator
337,Photographer
338,Camera Operator
339,Columnist/Commentator
340,Internet Reporter
341,Editor
343,Editor
344,Photographer
345,Columnist/Commentator
346,Camera Operator
347,Editor
348,Camera Operator
349,Broadcast Reporter
349,Camera Operator
350,Camera Operator
352,Publisher/Owner
353,Print Reporter
354,Print Reporter
355,Editor
356,Columnist/Commentator
357,Broadcast Reporter
358,Camera Operator
358,Photographer
359,Columnist/Commentator
359,Publisher/Owner
360,Columnist/Commentator
360,Internet Reporter
361,Columnist/Commentator
362,Editor
363,Editor
364,Editor
365,Print Reporter
366,Broadcast Reporter
366,Editor
366,Internet Reporter
366,Print Reporter
367,Broadcast Reporter
369,Photographer
371,Print Reporter
372,Broadcast Reporter
372,Print Reporter
373,Print Reporter
374,Print Reporter
375,Broadcast Reporter
376,Publisher/Owner
377,Print Reporter
378,Camera Operator
379,Broadcast Reporter
380,Editor
380,Producer
380,Publisher/Owner
381,Print Reporter
382,Editor
383,Editor
383,Print Reporter
383,Publisher/Owner
385,Internet Reporter
386,Broadcast Reporter
386,Camera Operator
388,Camera Operator
389,Internet Reporter
389,Print Reporter
390,Editor
391,Internet Reporter
392,Editor
393,Broadcast Reporter
394,Producer
395,Camera Operator
395,Photographer
396,Editor
397,Photographer
398,Camera Operator
399,Photographer
400,Broadcast Reporter
401,Camera Operator
401,Photographer
402,Editor
402,Publisher/Owner
403,Print Reporter
405,Print Reporter
406,Columnist/Commentator
407,Internet Reporter
407,Print Reporter
408,Broadcast Reporter
409,Editor
410,Camera Operator
410,Photographer
411,Camera Operator
412,Print Reporter
413,Print Reporter
414,Camera Operator
415,Editor
416,Editor
417,Print Reporter
418,Publisher/Owner
419,Broadcast Reporter
419,Camera Operator
420,Editor
420,Print Reporter
421,Photographer
423,Photographer
424,Photographer
426,Editor
428,Editor
429,Editor
430,Print Reporter
431,Photographer
432,Print Reporter
433,Editor
434,Editor
435,Technician
436,Print Reporter
437,Photographer
438,Broadcast Reporter
440,Broadcast Reporter
441,Technician
442,Broadcast Reporter
445,Columnist/Commentator
446,Columnist/Commentator
447,Columnist/Commentator
448,Broadcast Reporter
449,Editor
451,Broadcast Reporter
453,Print Reporter
455,Columnist/Commentator
456,Columnist/Commentator
456,Publisher/Owner
457,Publisher/Owner
458,Camera Operator
459,Editor
460,Internet Reporter
461,Columnist/Commentator
462,Broadcast Reporter
463,Broadcast Reporter
463,Print Reporter
466,Editor
467,Technician
468,Print Reporter
471,Broadcast Reporter
473,Print Reporter
474,Editor
475,Print Reporter
476,Photographer
477,Print Reporter
478,Print Reporter
480,Editor
481,Editor
482,Editor
482,Internet Reporter
482,Photographer
482,Print Reporter
483,Columnist/Commentator
484,Internet Reporter
485,Editor
486,Print Reporter
487,Camera Operator
488,Camera Operator
488,Internet Reporter
489,Columnist/Commentator
490,Broadcast Reporter
490,Print Reporter
491,Internet Reporter
492,Columnist/Commentator
493,Columnist/Commentator
494,Print Reporter
495,Publisher/Owner
496,Internet Reporter
498,Broadcast Reporter
498,Editor
498,Internet Reporter
499,Broadcast Reporter
500,Editor
500,Broadcast Reporter
501,Columnist/Commentator
502,Photographer
502,Print Reporter
503,Editor
504,Photographer
505,Editor
506,Editor
510,Editor
511,Internet Reporter
511,Print Reporter
512,Camera Operator
512,Photographer
513,Broadcast Reporter
514,Editor
515,Broadcast Reporter
516,Publisher/Owner
517,Editor
518,Editor
519,Camera Operator
520,Print Reporter
521,Print Reporter
522,Internet Reporter
523,Print Reporter
524,Editor
525,Print Reporter
526,Internet Reporter
527,Broadcast Reporter
527,Columnist/Commentator
528,Internet Reporter
528,Print Reporter
529,Internet Reporter
529,Print Reporter
531,Broadcast Reporter
531,Internet Reporter
532,Internet Reporter
534,Publisher/Owner
535,Internet Reporter
535,Producer
535,Publisher/Owner
536,Editor
537,Photographer
538,Editor
539,Broadcast Reporter
540,Editor
541,Columnist/Commentator
542,Editor
542,Publisher/Owner
544,Internet Reporter
544,Print Reporter
546,Publisher/Owner
547,Print Reporter
548,Publisher/Owner
549,Print Reporter
550,Columnist/Commentator
551,Print Reporter
552,Broadcast Reporter
554,Columnist/Commentator
556,Print Reporter
557,Broadcast Reporter
560,Columnist/Commentator
560,Print Reporter
561,Print Reporter
562,Editor
563,Editor
564,Broadcast Reporter
565,Photographer
566,Camera Operator
566,Photographer
567,Editor
567,Producer
568,Camera Operator
569,Camera Operator
570,Broadcast Reporter
572,Camera Operator
573,Camera Operator
574,Broadcast Reporter
575,Editor
575,Print Reporter
576,Internet Reporter
576,Print Reporter
577,Print Reporter
578,Editor
578,Publisher/Owner
579,Internet Reporter
580,Print Reporter
583,Editor
583,Print Reporter
584,Editor
586,Editor
586,Publisher/Owner
587,Production manager
588,Broadcast Reporter
589,Photographer
589,Internet Reporter
590,Broadcast Reporter
591,Columnist/Commentator
