J_Id,charge
782,No charge disclosed
783,No charge disclosed
784,Anti-State
785,No Charge
787,No Charge
789,Anti-State
790,Anti-State
793,Anti-State
794,Anti-State
794,False News
795,Anti-State
797,No Charge
801,No Charge
805,Anti-State
809,Retaliatory
811,Anti-State
813,Retaliatory
815,Anti-State
818,No Charge
820,Anti-State
822,Anti-State
823,No Charge
831,No Charge
838,Anti-State
839,Anti-State
840,No Charge
841,Defamation
842,Anti-State
846,Anti-State
848,Anti-State
848,Retaliatory
849,False News
850,Anti-State
851,Anti-State
851,Retaliatory
858,No Charge
862,Anti-State
863,Anti-State
865,Anti-State
870,Defamation
877,Defamation
878,Anti-State
885,Anti-State
890,No Charge
891,Ethnic or Religious Insult
892,Anti-State
893,Anti-State
897,Anti-State
898,Anti-State
899,Retaliatory
899,Anti-State
900,False News
900,Retaliatory
902,Retaliatory
904,No Charge
905,Defamation
913,Anti-State
913,False News
914,Anti-State
914,Ethnic or Religious Insult
915,No Charge
916,No Charge
917,Anti-State
919,Retaliatory
921,Anti-State
922,Anti-State
924,Defamation
925,No charge disclosed
927,Anti-State
931,Defamation
933,No Charge
934,Anti-State
935,Anti-State
936,Anti-State
936,Retaliatory
937,Anti-State
938,Anti-State
939,Anti-State
940,Anti-State
941,Defamation
942,Retaliatory
944,No charge disclosed
945,Anti-State
952,Anti-State
953,Retaliatory
954,Anti-State
954,False News
955,Anti-State
955,False News
957,Anti-State
957,False News
958,Anti-State
962,Anti-State
962,False News
964,Anti-State
965,Retaliatory
966,No Charge
967,Retaliatory
970,Anti-State
976,Anti-State
977,No charge disclosed
978,Anti-State
979,No Charge
980,Anti-State
982,Ethnic or Religious Insult
988,Anti-State
991,Anti-State
992,Defamation
992,Anti-State
994,No charge disclosed
996,Anti-State
996,Retaliatory
997,Retaliatory
999,Anti-State
1000,Anti-State
1002,Anti-State
1003,Anti-State
1004,Anti-State
1005,No Charge
1006,Anti-State
1007,Anti-State
1008,Anti-State
1009,Anti-State
1010,Anti-State
1012,Anti-State
1014,Anti-State
1016,Anti-State
1019,Retaliatory
1020,Anti-State
1027,Anti-State
1028,No Charge
1038,Anti-State
1039,Anti-State
1040,No Charge
1041,Anti-State
1042,Anti-State
1045,Anti-State
1046,Retaliatory
1053,No Charge
1056,Defamation
1059,Anti-State
1059,Defamation
1069,Defamation
1071,Anti-State
1072,No Charge
1073,Anti-State
1074,Defamation
1075,Defamation
1076,Anti-State
1078,No Charge
1079,Anti-State
1089,Anti-State
1090,Retaliatory
1091,Anti-State
1092,Anti-State
1094,Anti-State
1095,False News
1098,Anti-State
1102,Retaliatory
1108,Anti-State
1109,Defamation
